trading_date_d,date,N_d,Delta,lag_k,mu_hat_d,sign_mu_hat_d,abs_mu_hat_d,RSD_d_k,RQ_d,VarHat_d,ST_d_k,abs_ST_d,drift_state_d,drift_label_d,drift_sign,valid_day_flag,invalid_reason,mu_hat,sigma_hat_d,estimation_n_obs_d
2021-06-30,2021-06-30,266,1.0,1,,0,,-0.008729904813637057,6.004202252433232e-06,6.004202252433232e-06,-3.562721313261613,3.562721313261613,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,2
2021-07-02,2021-07-02,329,1.0,1,,0,,-0.00212258900490752,8.724606953320751e-07,8.724606953320751e-07,-2.272442875468063,2.272442875468063,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,8
2021-07-06,2021-07-06,332,1.0,1,,0,,-0.003895990616675924,1.4737903420558492e-06,1.4737903420558492e-06,-3.2092241310593432,3.2092241310593432,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,11
2021-07-07,2021-07-07,311,1.0,1,,0,,-0.014071497675287915,9.99303432928359e-06,9.99303432928359e-06,-4.451348875964659,4.451348875964659,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,14
2021-07-08,2021-07-08,330,1.0,1,,0,,-0.010680031839188399,2.485502779173996e-05,2.485502779173996e-05,-2.1422266652565294,2.1422266652565294,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,17
2021-07-09,2021-07-09,294,1.0,1,,0,,-0.005583360019249999,2.982832978902442e-06,2.982832978902442e-06,-3.2328173210162503,3.2328173210162503,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,20
2021-07-13,2021-07-13,312,1.0,1,,0,,-0.004327120361169577,3.5702616275615496e-06,3.5702616275615496e-06,-2.2900710381156695,2.2900710381156695,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,26
2021-07-14,2021-07-14,287,1.0,1,,0,,-0.01690507085492486,1.6173550637557105e-05,1.6173550637557105e-05,-4.20353152754219,4.20353152754219,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,29
2021-07-15,2021-07-15,325,1.0,1,-0.0039650065160587306,-1,0.0039650065160587306,-0.015992100504960242,2.7729979670634026e-05,2.7729979670634026e-05,-3.0369017016830475,3.0369017016830475,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0039650065160587306,0.011276895371199,32
2021-07-19,2021-07-19,228,1.0,1,-0.004466428654899026,-1,0.004466428654899026,-0.023878491926976803,4.1977953834177015e-05,4.1977953834177015e-05,-3.685498698525311,3.685498698525311,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.004466428654899026,0.01197674744406469,38
2021-07-21,2021-07-21,250,1.0,1,-0.0021164553206607273,-1,0.0021164553206607273,-0.0065040563295632944,2.534490078696927e-06,2.534490078696927e-06,-4.085441499783172,4.085441499783172,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0021164553206607273,0.011680243144278376,44
2021-07-22,2021-07-22,235,1.0,1,-0.001736246332397017,-1,0.001736246332397017,-0.008304841735889693,5.5798659509247305e-06,5.5798659509247305e-06,-3.51576208064307,3.51576208064307,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.001736246332397017,0.011441674515792347,47
2021-07-27,2021-07-27,268,1.0,1,-0.0028452951196174447,-1,0.0028452951196174447,-0.012014969251420352,3.1092399214795586e-05,3.1092399214795586e-05,-2.1547433351932317,2.1547433351932317,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0028452951196174447,0.01197501116233475,56
2021-07-29,2021-07-29,219,1.0,1,-0.0011667426556209073,-1,0.0011667426556209073,-0.013991177813300278,1.5127885550093168e-05,1.5127885550093168e-05,-3.5972047727187295,3.5972047727187295,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0011667426556209073,0.012058550403776987,62
2021-07-30,2021-07-30,181,1.0,1,-0.0018054639690326683,-1,0.0018054639690326683,-0.00828915642873663,7.267621545327917e-06,7.267621545327917e-06,-3.0747809635967402,3.0747809635967402,0,no_detectable_drift,no_detectable_drift,False,insufficient_minute_bars;missing_timestamps;nan_or_inf_returns,-0.0018054639690326683,0.012071879068115732,63
2021-08-02,2021-08-02,204,1.0,1,-0.0008031456843462303,-1,0.0008031456843462303,-0.010261491642188238,8.31294972786385e-06,8.31294972786385e-06,-3.559040406684069,3.559040406684069,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0008031456843462303,0.011804728162983854,63
2021-08-04,2021-08-04,247,1.0,1,-0.0009364496715896099,-1,0.0009364496715896099,-0.005824517192216124,2.8791076971832886e-06,2.8791076971832886e-06,-3.4326614772235207,3.4326614772235207,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0009364496715896099,0.011913711606449526,63
2021-08-05,2021-08-05,317,1.0,1,-0.0006362079826878727,-1,0.0006362079826878727,-0.011757921033369713,7.014027353694296e-06,7.014027353694296e-06,-4.439630348674388,4.439630348674388,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0006362079826878727,0.011911224839997368,63
2021-08-06,2021-08-06,229,1.0,1,-0.00018085487622459832,-1,0.00018085487622459832,-0.0067973422104402985,3.967477325750288e-06,3.967477325750288e-06,-3.41257266880154,3.41257266880154,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.00018085487622459832,0.010759666980880727,63
2021-08-09,2021-08-09,264,1.0,1,-0.0003033925740320708,-1,0.0003033925740320708,-0.008322493735494992,3.773859765854096e-06,3.773859765854096e-06,-4.284109847515586,4.284109847515586,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0003033925740320708,0.010627538897287493,63
2021-08-10,2021-08-10,231,1.0,1,-0.0007479706663054181,-1,0.0007479706663054181,-0.007138178229372823,6.0705424334759815e-06,6.0705424334759815e-06,-2.897167720920471,2.897167720920471,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0007479706663054181,0.010664846268746855,63
2021-08-12,2021-08-12,177,1.0,1,-0.00012126307470468269,-1,0.00012126307470468269,-0.015981551535075682,1.4632295969680614e-05,1.4632295969680614e-05,-4.177944832278442,4.177944832278442,0,no_detectable_drift,no_detectable_drift,False,insufficient_minute_bars;missing_timestamps;nan_or_inf_returns,-0.00012126307470468269,0.010245794177238464,63
